Latin	occur	Inter	Moist	Al	Ca	Fe	K	P	Zn	N	Moist^2	Al^2	Ca^2	Fe^2	K^2	P^2	Zn^2	N^2
Malpighia romeroana (Malpighiaceae)	3	-2.63091948586094	1.35894609484376	0.208005437611964	-0.370149292144894	-0.20614713992994	-0.0802178044286069	-0.0540002132191475	0.11321581652776	0.0781159676001592	-0.806598862628085	-0.205305981221318	-0.134842107008257	-0.103731655797547	0.00861258286872895	-0.288755449020922	-0.132842935881254	-0.0157839296481045
Mammea immansueta (Clusiaceae)	4	-3.21837979784794	1.48229812874741	0.0223365787329236	-0.264255609327098	-0.162034884000737	0.0202024993438532	-1.50664971305521	0.101457557201482	0.0317099621021163	-0.770801893795132	-0.234195112274305	-0.20418316520522	-0.066450799944398	0.00329124132526831	-0.0565272782897249	-0.137708052728845	-0.0242819810082203
Manilkara bidentata (Sapotaceae)	18	-1.36261698916261	2.75099735471179	0.522497481358286	-0.401486703694548	-0.109024923406041	-0.413107655109045	-0.20693551347605	0.0886641966382444	0.0250123294170006	-0.818322768985979	-0.159460007151841	-0.0173168360741135	-0.121219090341285	-0.0226093783661142	0.0633762377591353	-0.0390492926940844	-0.00257822876616149
Manilkara zapota (Sapotaceae)	9	-2.21359043657893	-0.00419049057214992	0.0584272042057521	-0.138150325524917	-0.449116403046563	-0.110290654750669	0.0239206866889313	-0.00794175796880183	0.0504028949177641	0.176985111922399	-0.235281118865642	0.146143957331005	-0.108582568339302	-0.12069470120535	0.0953136362614338	-0.151325105862494	-0.0190936241002863
Maquira guianensis (Moraceae)	39	1.59775202233834	1.73415430697544	-0.402172415641965	-0.294146675254626	-0.372535252832348	-0.20037390350202	-0.166753210052847	0.120441283440402	0.0592628113101251	-0.534125993443265	-0.16662295390574	-0.279664957788513	0.130054154344959	0.0793542381175416	-0.524151075880582	-0.178251656905097	0.0019390222443355
Marila laxiflora (Clusiaceae)	16	-1.3748210774017	1.27134534007805	0.0161797432674027	-0.713342911307338	-0.0914229107633664	-0.214910268718752	-1.67335045961738	0.105246277109398	0.0858528481654323	-0.895239723517539	-0.218921934509969	-0.092453390865832	0.193714776625146	0.0192157454287907	-0.188792461502941	-0.128824912556712	-0.0222799540985974
Marila pluricostata (Clusiaceae)	5	-3.46243428831728	2.08842423496611	-0.0684896803194741	-0.198789592448645	-0.0659208749010107	0.0878252009442017	-1.48121661815344	0.164648902963451	0.0295221805682777	-0.570412235820477	-0.240640126904452	-0.175155565922866	-0.122097982181412	-0.0186933941398971	-0.104620418218495	-0.14297914956207	-0.0266976719882003
Maranthes panamensis (Chrysobalanaceae)	24	-0.301429099111548	1.60564850236418	-0.47918607836745	-0.254369033432496	-0.330550666519441	-0.218904731142163	-1.17238385570435	0.225445481597149	0.0134535337784624	-0.324334412629981	-0.0701184105152249	-0.0742779599119742	-0.218738686530007	-0.0397550207177165	-0.208253493750877	-0.173558016347063	0.00563032152055006
Margaritaria nobilis (Phyllanthaceae)	16	-1.2322461390442	-0.148534938152521	0.0434677421807778	0.00348447439273946	-0.066315043335042	0.255388095058491	-0.0968443017785454	0.0500112395403213	0.0691966046845153	-0.0531876555441306	-0.227740844857957	-0.25713688598886	0.183658238134835	0.143760328639333	-0.12717964363542	0.0618472415353419	-0.0320039002506589
Matayba apetala (Sapindaceae)	26	0.237069048417483	1.30266073827613	-0.173820409461133	-0.891947989599785	-0.186445228497176	-0.345779757422498	-1.67912037660206	0.0878187179448648	0.0200063751680927	-0.822225824826937	-0.193306657402643	-0.225410090400708	-0.117544937802529	-0.0303928122326535	-0.267894609220455	-0.109458441743706	-0.00306304356355778
